UniProt1,UniProt2,symbol1,symbol2
Q92731,P22090,ESR2,RPS4Y1
Q92731,P22528,ESR2,SPRR1B
Q92731,P23396,ESR2,RPS3
Q92731,P24386,ESR2,CHM
Q92731,P24863,ESR2,CCNC
Q92731,P25054,ESR2,APC
Q92731,P25398,ESR2,RPS12
Q92731,P26232,ESR2,CTNNA2
Q92731,P26641,ESR2,EEF1G
Q92731,P27348,ESR2,YWHAQ
Q92731,P27708,ESR2,CAD
Q92731,P28072,ESR2,PSMB6
Q92731,P28482,ESR2,MAPK1
Q92731,P30048,ESR2,PRDX3
Q92731,P30050,ESR2,RPL12
Q92731,P31749,ESR2,AKT1
Q92731,P35222,ESR2,CTNNB1
Q92731,P35249,ESR2,RFC4
Q92731,P35250,ESR2,RFC2
Q92731,P35251,ESR2,RFC1
Q92731,P35498,ESR2,SCN1A
Q92731,P35579,ESR2,MYH9
Q92731,P35606,ESR2,COPB2
Q92731,P35998,ESR2,PSMC2
Q92731,P36578,ESR2,RPL4
